pdf_description,catalog_description,match_quality,confidence
"HS TUBING DW W/LIN 1/2""X6"" BLACK","HEAT SHRINK MULTI-WALL 12"" STK 1/2"" ID, BLACK, 3:1 S/R",good,0.8
TERM-BOWMA-CRIMP 6-8 STUD-16-14 GA,TERMINAL SPADE NYLON-INS 16-14 GAUGE  #10 STUD,good,0.85
TERM-BOWMA-CRIMP 4-6 STUD-22-16 GA,TERMINAL SPADE NYLON-INS 22-18 GAUGE  #10 STUD,good,0.85
20 AMP MINI FUSE,FUSE - MINI 20 AMP - YELLOW,good,0.85
20 AMP FUSE MAXI,"FUSE - MAXI 20 AMP, YELLOW",good,0.85
COTTER PIN   EXT PRNG 5/32 X 1,"COTTER PIN - ZINC 5/32"" X 1""""",excellent,0.9
GR. 8 HX HD CAP SCR 3/8-24×1,"HEX CAP SCREW BOLT UNF ZINC 3/8""-24 X 1"", GR 8",excellent,0.95
GR. 8 HX HD CAP SCR 3/8-24×1-1/4,"HEX CAP SCREW BOLT UNF ZINC 3/8""-24 X 1-1/4"", GR 8",excellent,0.95
GR. 8 HX HD CAP SCR 3/8-24×2,"HEX CAP SCREW BOLT UNF ZINC 3/8""-24 X 2"", GR 8",excellent,0.95
GR. 8 HX HD CAP SCR 3/8-24×1-3/4,"HEX CAP SCREW BOLT UNF ZINC 3/8""-24 X 1-3/4"", GR 8",excellent,0.95
GR. 8 HX HD CAP SCR 1/4-28X3/4,"HEX CAP SCREW BOLT UNF ZINC 1/4""-28 X 3/4"", GR 8",excellent,0.95
GR. 8 HEX NUT 3/8-24,"HEX NUT UNF ZINC 3/8""-24 GR 8",excellent,0.9
HARDENED FLAT WASHER- 5/16 SAE  ZY,"FLAT WASHER SAE ZINC 5/16"" THRU HARDENED",excellent,0.9
LOCK WASHER 1/2-ZY,"LOCK WASHER SPLIT USS ZINC 1/2"" HIGH ALLOY",good,0.85
LOCK WASHER 1/4-ZY,"LOCK WASHER SPLIT USS ZINC 1/4"" HIGH ALLOY",good,0.85
LOCK WASHER 5/16-ZY,"LOCK WASHER SPLIT USS ZINC 5/16"" HIGH ALLOY",good,0.85
GR. 8 HEX NUT 3/8-16,"HEX NUT UNC ZINC 3/8""-16 GR 8",excellent,0.9
GR. 8 HEX NUT 1/2-13,"HEX NUT UNC ZINC 1/2""-13 GR 8",excellent,0.9
GR. 8 HX HD CAP SCR 7/16-14X1,"HEX CAP SCREW BOLT UNC ZINC 7/16""-14 X 1"", GR 8",excellent,0.95
GR. 8 HX HD CAP SCR 5/16-18X3/4,"HEX CAP SCREW BOLT UNC ZY 5/16""-18 X 3/4"", GR 8",excellent,0.95
GR. 8 HX HD CAP SCR 3/8-16×1-1/4,"HEX CAP SCREW BOLT UNC ZY 3/8""-16 X 1-1/4"", GR 8",excellent,0.95
GR. 8 HX HD CAP SCR 1/4-28X1-1/4,"HEX CAP SCREW BOLT UNF ZINC 1/4""-28 X 1-1/4"", GR 8",excellent,0.95
GR. 8 HX HD CAP SCR 1/4-20X1,"HEX CAP SCREW BOLT UNC ZINC 1/4""-20 X 1"", GR 8",excellent,0.95
GR. 8 HX HD CAP SCR 1/4-20X1-1/4,"HEX CAP SCREW BOLT UNC ZINC 1/4""-20 X 1-1/4"", GR 8",excellent,0.95
GR. 8 HX HD CAP SCR 1/4-28×1-3/4,"HEX CAP SCREW BOLT UNC ZINC 1/4""-20 X 1-3/4"", GR 8",excellent,0.95
GR. 8 HX HD CAP SCR 7/16-14X2,"HEX CAP SCREW BOLT UNC ZINC 7/16""-14 X 2"", GR 8",excellent,0.95
GR. 8 HX HD CAP SCR 1/2-13X2-3/4,"HEX CAP SCREW BOLT UNC ZINC 1/2""-13 X 2-3/4"", GR 8",excellent,0.95
GR. 8 HX HD CAP SCR 1/4-20X2-1/2,"HEX CAP SCREW BOLT UNC ZINC 1/4""-20 X 2-1/2"", GR 8",excellent,0.95
GR. 8 HX HD CAP SCR 1/4-20X2-1/4,"HEX CAP SCREW BOLT UNC ZY 1/4""-20 X 2-1/4"", GR 8",excellent,0.95
GR. 8 HX HD CAP SCR 5/16-18X2-1/2,"HEX CAP SCREW BOLT UNC ZINC 5/16""-18 X 2-1/2"", GR 8",excellent,0.95
GR. 8 HX HD CAP SCR 7/16-20X1-1/4,"HEX CAP SCREW BOLT UNF ZINC 7/16""-20 X 1-1/4"", GR 8",excellent,0.95
GR. 8 HEX NUT 7/16-20,"HEX NUT UNF ZINC 7/16""-20 GR 8",excellent,0.9
GR. 8 HEX NUT 1/2-20,"HEX NUT UNF ZINC 1/2""-20 GR 8",excellent,0.9
LOCK WASHER 9/16-ZY,"LOCK WASHER SPLIT USS ZINC 9/16"" HIGH ALLOY",good,0.85
GR. 8 HX HD CAP SCR 7/16-20X2-3/4,"HEX CAP SCREW BOLT UNF ZINC 7/16""-20 X 2-3/4"", GR 8",excellent,0.95
"THREADLOCKER  MED STRENGTH BLUE	 35 ML",THREADLOCKER-MEDIUM STRENGTH 50 ML BOTTLE  BLUE,excellent,0.9
"THREADLOCKER  HIGH STRENGTH RED	 50 ML",THREADLOCKER-HIGH STRENGTH 50 ML BOTTLE  RED,excellent,0.9
+LOCTITE DIELECTRIC GREASE .33OZ TUBE,DIELECTRIC GREASE 1 OUNCE,good,0.8
"3M ROLOC SURFACE COND DISC  2"" FINE",3M ROLOC SURF COND DISC 2 VERY FINE TEAL,excellent,0.9
"MTD PNT GRIND WHL  A/O	 VITRIFIED	 W236",W236 1-1/2 X 1/2 X 1/4 A60R,good,0.8
"MTD PNT GRIND WHL  A/O	 VITRIFIED	 A4",MOUNTED POINT A11 60 GRIT,good,0.8
FLAP WHEEL AO 1X1X1/4 SHANK 120 GRIT,"FLAP WHEEL W/1/4""MANDREL 1"" DIAM  1"" W	 120 GRIT",excellent,0.9
"TAPE  TEFLON THREAD	 3/4"" X 520""","TAPE PTFE THREAD SEAL 1/2"" X 520""",good,0.85
PIPE SEALANT W/PTFE  50 ML,PIPE SEALANT  W/PTFE NET WT 50 ML TUBE,excellent,0.95
"CUT OFF WHL  GRADE T	 3 X 1/16 X 3/8","CUT OFF WHEEL HIGH SPD TYPE 1 3"" DIAM, 1/16"" W, 3/8"" BORE",excellent,0.95
