item_description,catalog_product_sku,catalog_product_description
GR. 8 HX HD CAP SCR 1/2-13X2-3/4,12X234C8,"HEX CAP SCREW BOLT UNC ZINC 1/2""-13 X 2-3/4"", GR 8"
GR. 8 HX HD CAP SCR 1/4-20X2-1/2,14X212C8,"HEX CAP SCREW BOLT UNC ZINC 1/4""-20 X 2-1/2"", GR 8"
GR. 8 HX HD CAP SCR 1/4-20X2-1/4,14X214C8,"HEX CAP SCREW BOLT UNC ZY 1/4""-20 X 2-1/4"", GR 8"
GR. 8 HX HD CAP SCR 5/16-18X2-1/2,56X212C8,"HEX CAP SCREW BOLT UNC ZINC 5/16""-18 X 2-1/2"", GR 8"
GR. 8 HX HD CAP SCR 7/16-20X1-1/4,76X114F8,"HEX CAP SCREW BOLT UNF ZINC 7/16""-20 X 1-1/4"", GR 8"
GR. 8 HEX NUT 7/16-20,8N7620,"HEX NUT UNF ZINC 7/16""-20 GR 8"
GR. 8 HEX NUT 1/2-20,8N1220,"HEX NUT UNF ZINC 1/2""-20 GR 8"
LOCK WASHER 9/16-ZY,8LW96,"LOCK WASHER SPLIT USS ZINC 9/16"" HIGH ALLOY"
GR. 8 HX HD CAP SCR 7/16-20X2-3/4,76X234F8,"HEX CAP SCREW BOLT UNF ZINC 7/16""-20 X 2-3/4"", GR 8"
"THREADLOCKER  MED STRENGTH BLUE	 35 ML",TL242-2,THREADLOCKER-MEDIUM STRENGTH 50 ML BOTTLE  BLUE
"THREADLOCKER  HIGH STRENGTH RED	 50 ML",TL271-2,THREADLOCKER-HIGH STRENGTH 50 ML BOTTLE  RED
+LOCTITE DIELECTRIC GREASE .33OZ TUBE,XDY49634,DIELECTRIC GREASE 1 OUNCE
"3M ROLOC SURFACE COND DISC  2"" FINE",XRSCD2VFN,3M ROLOC SURF COND DISC 2 VERY FINE TEAL
"MTD PNT GRIND WHL  A/O	 VITRIFIED	 W236",XUA27349,W236 1-1/2 X 1/2 X 1/4 A60R
"MTD PNT GRIND WHL  A/O	 VITRIFIED	 A4",XUA27040,MOUNTED POINT A11 60 GRIT
FLAP WHEEL AO 1X1X1/4 SHANK 120 GRIT,FW1X1X120,"FLAP WHEEL W/1/4""MANDREL 1"" DIAM  1"" W	 120 GRIT"
"TAPE  TEFLON THREAD	 3/4"" X 520""",T5520,"TAPE PTFE THREAD SEAL 1/2"" X 520"""
PIPE SEALANT W/PTFE  50 ML,PSWT,PIPE SEALANT  W/PTFE NET WT 50 ML TUBE
"CUT OFF WHL  GRADE T	 3 X 1/16 X 3/8",XCOW3X16X38,"CUT OFF WHEEL HIGH SPD TYPE 1 3"" DIAM, 1/16"" W, 3/8"" BORE"
